week,date,close,next_close,price_change_%,actual_direction,actual_label,should_trade,raw_prediction,final_prediction,predicted_label,up_votes,down_votes,consensus_level,avg_confidence,correct,trade_result,pnl_%
1,2025-01-06 00:00:00+00:00,94505.67,101212.56,7.096812286500905,1,上涨,True,0.0,1.0,看多(逆向),0,3,3,0.7433673508037623,True,正确✓,7.096812286500905
2,2025-01-13 00:00:00+00:00,101212.56,102576.93,1.3480243953912392,1,上涨,True,0.0,1.0,看多(逆向),0,3,3,0.7476252780009324,True,正确✓,1.3480243953912392
3,2025-01-20 00:00:00+00:00,102576.93,97665.06,-4.788474367482041,0,下跌,True,0.0,1.0,看多(逆向),0,3,3,0.8053698829075907,False,错误✗,-4.788474367482041
4,2025-01-27 00:00:00+00:00,97665.06,96485.6,-1.2076580918498303,0,下跌,False,,,看空,1,2,2,0.6377628664630848,,观望,0.0
5,2025-02-03 00:00:00+00:00,96485.6,96132.69,-0.3657644249504625,0,下跌,False,,,看空,0,3,3,0.650690006513698,,观望,0.0
6,2025-02-10 00:00:00+00:00,96132.69,96274.12,0.1471195698362264,1,上涨,False,,,看空,2,1,2,0.6782781166952073,,观望,0.0
7,2025-02-17 00:00:00+00:00,96274.12,94275.76,-2.075698017286474,0,下跌,True,1.0,0.0,看空(逆向),2,1,2,0.7333985109244754,True,正确✓,2.075698017286474
8,2025-02-24 00:00:00+00:00,94275.76,80719.05,-14.379846951114466,0,下跌,False,,,看空,2,1,2,0.6835885886605544,,观望,0.0
9,2025-03-03 00:00:00+00:00,80719.05,82572.37,2.2960131468345977,1,上涨,False,,,看空,2,1,2,0.6087069183282375,,观望,0.0
10,2025-03-10 00:00:00+00:00,82572.37,86091.67,4.2620794340770445,1,上涨,False,,,看空,1,2,2,0.5567803400746576,,观望,0.0
11,2025-03-17 00:00:00+00:00,86091.67,82379.51,-4.3118689647906745,0,下跌,True,0.0,1.0,看多(逆向),0,3,3,0.7897359714576585,False,错误✗,-4.3118689647906745
12,2025-03-24 00:00:00+00:00,82379.51,78365.57,-4.87249802772557,0,下跌,False,,,看空,0,3,3,0.6935328289840642,,观望,0.0
13,2025-03-31 00:00:00+00:00,78365.57,83730.92,6.846565398554481,1,上涨,False,,,看空,1,2,2,0.573135200123518,,观望,0.0
14,2025-04-07 00:00:00+00:00,83730.92,85167.14,1.7152803289394183,1,上涨,False,,,看空,2,1,2,0.5495306822932503,,观望,0.0
15,2025-04-14 00:00:00+00:00,85167.14,93777.44,10.109885103573987,1,上涨,False,,,看空,0,3,3,0.6291859195186946,,观望,0.0
16,2025-04-21 00:00:00+00:00,93777.44,94394.09,0.6575675343664683,1,上涨,False,,,看空,0,3,3,0.587055726176997,,观望,0.0
17,2025-04-28 00:00:00+00:00,94394.09,104124.02,10.307774565123735,1,上涨,False,,,看空,2,1,2,0.6610656632463986,,观望,0.0
18,2025-05-05 00:00:00+00:00,104124.02,106488.62,2.2709457433548867,1,上涨,False,,,看空,2,1,2,0.6553170006953722,,观望,0.0
19,2025-05-12 00:00:00+00:00,106488.62,109041.44,2.39727024352462,1,上涨,False,,,看空,2,1,2,0.6807850255754385,,观望,0.0
20,2025-05-19 00:00:00+00:00,109041.44,105702.19,-3.062367848406991,0,下跌,True,1.0,0.0,看空(逆向),3,0,3,0.7193603255507464,True,正确✓,3.062367848406991
21,2025-05-26 00:00:00+00:00,105702.19,105779.28,0.07293131769549571,1,上涨,False,,,看空,3,0,3,0.6673714166098116,,观望,0.0
22,2025-06-02 00:00:00+00:00,105779.28,105625.23,-0.1456334359621307,0,下跌,True,1.0,0.0,看空(逆向),2,1,2,0.7020203600487965,True,正确✓,0.1456334359621307
23,2025-06-09 00:00:00+00:00,105625.23,101015.42,-4.364307656418829,0,下跌,True,1.0,0.0,看空(逆向),2,1,2,0.727382208326938,True,正确✓,4.364307656418829
24,2025-06-16 00:00:00+00:00,101015.42,108391.87,7.302300975435233,1,上涨,False,,,看空,2,1,2,0.6704423028587598,,观望,0.0
25,2025-06-23 00:00:00+00:00,108391.87,109233.93,0.7768663830599082,1,上涨,True,0.0,1.0,看多(逆向),0,3,3,0.7275995537552991,True,正确✓,0.7768663830599082
26,2025-06-30 00:00:00+00:00,109233.93,119127.66,9.057378050940775,1,上涨,False,,,看空,2,1,2,0.6530557409914448,,观望,0.0
27,2025-07-07 00:00:00+00:00,119127.66,117328.61,-1.510186635077028,0,下跌,False,,,看空,2,1,2,0.6492531630744666,,观望,0.0
28,2025-07-14 00:00:00+00:00,117328.61,119468.71,1.8240222908973405,1,上涨,False,,,看空,2,1,2,0.6518733281364307,,观望,0.0
29,2025-07-21 00:00:00+00:00,119468.71,114238.83,-4.3776148583172985,0,下跌,True,1.0,0.0,看空(逆向),3,0,3,0.7267162056156383,True,正确✓,4.3776148583172985
30,2025-07-28 00:00:00+00:00,114238.83,119311.7,4.44058294364534,1,上涨,False,,,看空,2,1,2,0.6602933022234696,,观望,0.0
31,2025-08-04 00:00:00+00:00,119311.7,117488.0,-1.5285173205980613,0,下跌,False,,,看空,2,1,2,0.5522583555544749,,观望,0.0
32,2025-08-11 00:00:00+00:00,117488.0,113486.67,-3.4057350537927293,0,下跌,False,,,看空,1,2,2,0.5726259710530818,,观望,0.0
33,2025-08-18 00:00:00+00:00,113486.67,108273.72,-4.593446966062179,0,下跌,False,,,看空,0,3,3,0.5650429040721865,,观望,0.0
34,2025-08-25 00:00:00+00:00,108273.72,111143.24,2.650246061555846,1,上涨,False,,,看空,2,1,2,0.5763374640092156,,观望,0.0
35,2025-09-01 00:00:00+00:00,111143.24,115351.87,3.786672045911195,1,上涨,False,,,看空,2,1,2,0.5728196883451572,,观望,0.0
36,2025-09-08 00:00:00+00:00,115351.87,115299.83,-0.04511413642448414,0,下跌,False,,,看空,1,2,2,0.5607555768843354,,观望,0.0
37,2025-09-15 00:00:00+00:00,115299.83,112226.65,-2.6653812065464515,0,下跌,False,,,看空,0,3,3,0.6675986593711934,,观望,0.0
38,2025-09-22 00:00:00+00:00,112226.65,123535.21,10.076537079205352,1,上涨,False,,,看空,2,1,2,0.602825825555087,,观望,0.0
39,2025-09-29 00:00:00+00:00,123535.21,115084.73,-6.840543679814047,0,下跌,False,,,看空,1,2,2,0.6234555393901858,,观望,0.0
40,2025-10-06 00:00:00+00:00,115084.73,108701.79,-5.546296194117154,0,下跌,False,,,看空,2,1,2,0.680308709552798,,观望,0.0
41,2025-10-13 00:00:00+00:00,108701.79,114559.89,5.389147685608495,1,上涨,False,,,看空,1,2,2,0.6052909946117747,,观望,0.0
42,2025-10-20 00:00:00+00:00,114559.89,110564.52,-3.487581910213073,0,下跌,False,,,看空,1,2,2,0.5470501323349728,,观望,0.0
43,2025-10-27 00:00:00+00:00,110564.52,104721.32,-5.284878006072832,0,下跌,False,,,看空,2,1,2,0.6062428644253203,,观望,0.0
44,2025-11-03 00:00:00+00:00,104721.32,94244.44,-10.004533938265869,0,下跌,False,,,看空,2,1,2,0.6506987856275571,,观望,0.0
45,2025-11-10 00:00:00+00:00,94244.44,86823.45,-7.874193957754967,0,下跌,False,,,看空,0,3,3,0.6994860122975243,,观望,0.0
46,2025-11-17 00:00:00+00:00,86823.45,90381.34,4.097844533936396,1,上涨,False,,,看空,1,2,2,0.5238371000106788,,观望,0.0
47,2025-11-24 00:00:00+00:00,90381.34,90413.99,0.03612471335345187,1,上涨,False,,,看空,0,3,3,0.6097175991824634,,观望,0.0
48,2025-12-01 00:00:00+00:00,90413.99,88169.62,-2.482326020563864,0,下跌,True,0.0,1.0,看多(逆向),0,3,3,0.7512044518510491,False,错误✗,-2.482326020563864
49,2025-12-08 00:00:00+00:00,88169.62,88647.8,0.5423410013562581,1,上涨,True,0.0,1.0,看多(逆向),0,3,3,0.7710895674349715,True,正确✓,0.5423410013562581
